assembly,assembly_folder,Tree
flange-coupling-11.STEP,CouplingFlange,.0.0.(0)
flange-coupling-11.STEP,CouplingFlange,.0.1.(0)
flange-coupling-11.STEP,CouplingFlange,.0.2.(0)
flange-coupling-11.STEP,CouplingFlange,.0.6.(0)
flange-coupling-11.STEP,CouplingFlange,.0.10.(0)
flange-coupling-15.STEP,CouplingFlange,.0.0.(0)
flange-coupling-15.STEP,CouplingFlange,.0.2.(0)
flange-coupling-15.STEP,CouplingFlange,.0.4.(0)
flange-coupling-15.STEP,CouplingFlange,.0.7.(0)
flange-coupling-15_struttura.STEP,CouplingFlange,.0.2.0.(0)
flange-coupling-2.STEP,CouplingFlange,.0.0.(0)
flange-coupling-2.STEP,CouplingFlange,.0.1.(0)
flange-coupling-2.STEP,CouplingFlange,.0.2.(0)
flange-coupling-2.STEP,CouplingFlange,.0.3.(0)
flange-coupling-21.STEP,CouplingFlange,.0.0.(0)
flange-coupling-21.STEP,CouplingFlange,.0.2.(0)
flange-coupling-21.STEP,CouplingFlange,.0.3.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.1.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.2.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.2.1.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.2.2.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.2.3.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.4.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.5.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.0.6.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.1.1.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.1.5.2.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.1.7.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.1.11.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.1.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.2.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.3.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.4.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.6.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.67.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.2.94.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.3.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.3.5.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.3.6.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.3.7.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.3.10.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.3.10.2.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.5.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.7.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.8.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.8.1.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.8.1.1.0.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.8.1.1.1.(0)
2017-1-DIFFERENTIEL-ACHOU-BENASSON-BENRIDA-343-PARTS.stp,Differential,.0.4.11.0.(0)
